"","location","metric","Other unintentional injuries","Self-harm","Interpersonal violence","Exposure to forces of nature","Environmental heat and cold exposure","Ebola","Neonatal disorders","Protein-energy malnutrition","Other nutritional deficiencies","Sexually transmitted infections excluding HIV","Acute hepatitis","Other unspecified infectious diseases","Esophageal cancer","Stomach cancer","Liver cancer","Inflammatory bowel disease","Vascular intestinal disorders","Gallbladder and biliary diseases","Pancreatitis","Other digestive diseases","Alzheimer's disease and other dementias","Meningitis","Encephalitis","Diphtheria","Whooping cough","Tetanus","Measles","Varicella and herpes zoster","Malaria","Chagas disease","Leishmaniasis","African trypanosomiasis","Schistosomiasis","Cysticercosis","Cystic echinococcosis","Dengue","Yellow fever","Hypertensive heart disease","Cardiomyopathy and myocarditis","Atrial fibrillation and flutter","Aortic aneurysm","Peripheral artery disease","Endocarditis","Non-rheumatic valvular heart disease","Chronic obstructive pulmonary disease","Pneumoconiosis","Asthma","Interstitial lung disease and pulmonary sarcoidosis","Other chronic respiratory diseases","Cirrhosis and other chronic liver diseases","Road injuries","Other transport injuries","Other skin and subcutaneous diseases","Sudden infant death syndrome","Falls","Drowning","Fire, heat, and hot substances","Poisonings","Parkinson's disease","Idiopathic epilepsy","Multiple sclerosis","Motor neuron disease","Other neurological disorders","Alcohol use disorders","Drug use disorders","Eating disorders","Diabetes mellitus","Tuberculosis","HIV/AIDS","Lip and oral cavity cancer","Nasopharynx cancer","Other pharynx cancer","Gallbladder and biliary tract cancer","Pancreatic cancer","Malignant skin melanoma","Non-melanoma skin cancer","Ovarian cancer","Testicular cancer","Kidney cancer","Bladder cancer","Hemoglobinopathies and hemolytic anemias","Endocrine, metabolic, blood, and immune disorders","Rheumatoid arthritis","Other musculoskeletal disorders","Congenital birth defects","Upper respiratory infections","Otitis media","Executions and police conflict","Other neglected tropical diseases","Maternal disorders","Exposure to mechanical forces","Adverse effects of medical treatment","Gynecological diseases","Appendicitis","Brain and central nervous system cancer","Thyroid cancer","Mesothelioma","Hodgkin lymphoma","Non-Hodgkin lymphoma","Multiple myeloma","Leukemia","Other neoplasms","Rheumatic heart disease","Other malignant neoplasms","Other cardiovascular and circulatory diseases","Diarrheal diseases","Bacterial skin diseases","Upper digestive system diseases","Foreign body","Conflict and terrorism","Typhoid and paratyphoid","Invasive Non-typhoidal Salmonella (iNTS)","Rabies","Intestinal nematode infections","Other intestinal infectious diseases","Lower respiratory infections","Acute glomerulonephritis","Chronic kidney disease","Urinary diseases and male infertility","Ischemic heart disease","Zika virus","Paralytic ileus and intestinal obstruction","Larynx cancer","Animal contact","Tracheal, bronchus, and lung cancer","Breast cancer","Cervical cancer","Uterine cancer","Prostate cancer","Colon and rectum cancer","Decubitus ulcer","Stroke","Inguinal, femoral, and abdominal hernia"
"1","Vanuatu","Number",7.75257157792468,51.1491496656793,3.43915312786076,0,1.31778721888618,0,68.7960177879171,11.8111362008686,0.207764765716187,17.4860804767172,2.69393121321232,3.06945398410174,4.35704290405379,25.8849833548298,16.4446069663087,1.51778710990958,1.11441101149182,6.62641951562428,3.43644514231602,2.97862962759521,19.252962988999,6.13931903449077,0.913704439330498,0.185356608247105,13.2869279483136,0.110197019453026,5.09458206044343,1.02459176078978,1.33549827371532,0,0,0,0,0,0.0141097229746766,0.19527184945722,0,47.6270902314271,7.53029248442854,4.72728979997152,5.0164503124729,0.272458729336529,3.02113645599655,1.93363237148276,113.696698142976,0.275771494603088,45.3722750485736,4.75823466747472,7.89216997243791,49.4309407832069,66.655477920256,6.04205743371616,0.011376723141321,0.810453090962619,12.9618174927768,32.26011239533,3.93547724571882,1.98232131040181,12.7186609161164,4.86603354817227,0.257850780612503,0.193117782170433,1.56867162046774,3.69883650544559,1.35646989177936,0.000679952772806038,126.96516994667,41.2104814728934,19.0313293855401,3.43305765053968,2.83191903418059,0.624517747786314,1.78426085577918,5.1208647959377,0.991337683449799,1.21688561274709,2.60884726714386,0.156259511280998,1.34927337875856,3.0937658821377,1.14205210596543,7.19158243697776,0.265062264564529,1.65081573995321,22.2742305671305,0.0335018596919201,0.00362394704477219,0.0312961613224675,0.284303355338624,7.86255488546021,6.19614861651012,5.61265791598159,0.172477502179708,1.31665879345506,4.51628416436452,1.37385293202572,0.677210285070491,0.737023607590544,4.33038229777724,1.86380115025167,10.5636440852225,0.730135676860884,33.5215786395881,9.93342653886314,11.6424514112489,67.8659752800452,5.6946145842084,19.3885980883015,4.94473910298511,0,2.43256780140981,0.879395708638986,0.0304596345636495,0.0847822713701803,0.0609345314946037,113.208910572261,0.0707179154490249,69.8693569117379,6.18711622274739,460.135763057826,0,4.56903568398357,1.67056468811905,1.66376347352397,43.0534793702387,24.0022376009734,15.5553879811238,4.26434917815471,17.5919155505794,14.6905151395619,0.825834504018356,293.270850259674,1.63352835082018
"2","Vanuatu","Percent",0.00345921542001535,0.0228296741840036,0.00153305260298479,0,0.000589505700743989,0,0.0308327922482162,0.00529289210799033,9.30031781936469e-05,0.00785576932745651,0.00120142092393453,0.00136974063341367,0.00194783018797848,0.0115631695854442,0.0073499104014734,0.000678304910735988,0.000498552805630597,0.00296243534556996,0.00153448039078375,0.00133315417902984,0.00861330730849088,0.00274804114437303,0.00040857040148385,8.29035227657309e-05,0.00596715866685551,4.92467512357505e-05,0.0022878014235975,0.000459123786475906,0.000597423320628796,0,0,0,0,0,6.29759435567229e-06,8.70268903004058e-05,0,0.021298843711811,0.00336590892834584,0.00211849383534432,0.0022432490765894,0.00012202055359876,0.00134864105630934,0.00086421951430372,0.0508858868343827,0.000123547628035854,0.0202937740591535,0.00212629105038911,0.0035250484768968,0.0220680407089268,0.0297406211839767,0.00269632847959941,5.10414837559779e-06,0.000362812619046985,0.00579725765353662,0.0144130781911412,0.00175760623361933,0.000886324360357052,0.00569803760470132,0.00217157339128547,0.000115002641560478,8.62186923002086e-05,0.00070097567392339,0.00165040739801487,0.000604919355720424,3.02308888640199e-07,0.0567269908391897,0.0184129566836035,0.00864076379444041,0.0015340577428251,0.00126352068995236,0.000278841611307345,0.00079726730515213,0.00228892759015156,0.000442971863437176,0.00054439662517486,0.0011630625459923,6.98000555692811e-05,0.000602818228843382,0.00138316171769218,0.000510529410178669,0.00321092075209011,0.000118483705952894,0.000736821702770217,0.00998564302801797,1.49859057606355e-05,1.61872415557388e-06,1.39843876205072e-05,0.000127221351986873,0.00349424832382203,0.00276836780663143,0.0025054956332307,7.68980056922247e-05,0.000587351830807363,0.00201869769039804,0.000614116540669788,0.000302313997331419,0.000328893806919075,0.00193398941582973,0.000833868460495134,0.00472241598215264,0.000326738142897082,0.0149454844233776,0.00443938162268524,0.00520413126866047,0.0303966888622512,0.00254359170710537,0.00867792160466322,0.00221144546104967,0,0.00108852628789537,0.00039382621456488,1.36394808084927e-05,3.79028555404202e-05,2.72725569959196e-05,0.0506180561608086,3.15489097704708e-05,0.0312037010980204,0.00276512771904003,0.205674094297197,0,0.00204785705265259,0.000747285713810445,0.000742371910695225,0.0192663649767298,0.010702799657025,0.00692556260881984,0.00190355805170261,0.00788618693253102,0.00656564406888657,0.000370053598207349,0.131152596028842,0.000731896656624756
"3","Armenia","Number",55.2054507601121,287.178384247732,152.651942224004,0,47.3304442883964,0,155.685939069332,1.47553789685734,2.37953135231932,3.04096232945377,1.92820385478434,4.19789367908874,67.490485489385,533.729348300482,289.446338627689,10.8162640221133,145.270802905772,81.4134054356806,31.2044242200039,21.6390592473036,872.952482841394,5.03894413803882,14.9276104156836,0.00475125505600385,0.0533635369782033,0.144877756388737,0.00473705438703467,0.0591408859189923,0,0,1.88478401771701,0,0,0,0.220303544076282,0,0,659.238679227878,152.968195625899,162.477217055967,356.460449248991,11.7660570796688,9.20326228906833,17.9089849256415,1196.96243305781,1.63816771271244,17.9660603352582,103.512298669387,2.94478979543791,1114.18452296859,239.921049446403,11.1056012515675,0.644602670053134,1.20606092362243,95.5464952413173,43.7753396600593,45.281686136418,18.3677150343171,168.630071307711,17.9435701402059,8.60389420126144,1.89125673930035,16.3487326159914,68.9870318465065,10.1305237909127,0.0710083424273606,1234.6364380825,72.8098127635656,19.0760821184673,47.2953571616259,8.33990105114597,15.6838660163762,54.224185744044,437.74536921015,21.4158918207419,36.9759596446199,120.931824529749,7.63123793580511,108.69405593547,215.484202242786,6.87825034981929,33.5947913639619,7.77170657501472,8.78213539218458,155.593981731111,0.769609467923465,0.0596947607285095,0.3327918569923,0.0669485297231691,8.04416042896807,30.8483858145589,16.0907645904713,4.08346480126476,6.67968124315196,220.358423094044,25.4688461074867,27.906973730048,8.03395643525965,67.0684788665578,28.8422465317159,157.486702490133,6.50921527177062,112.350577686625,211.043843025317,102.38996980808,13.0606794254416,8.48216821948891,222.789272869917,85.2023750196916,0,0.945739569253812,0.0570855031704472,0.36489550096675,0.0300486863922733,0.158693347497169,546.109585754367,0.0636602738481084,448.929526648135,530.673768736826,9255.38924825276,0,46.5414449332641,107.031967116882,4.51113453769723,1333.75564516317,558.18148597781,158.02203512523,89.2909281544955,284.810310479755,585.122653301126,0.698709579005921,2666.97943237048,39.797337780514
"4","Armenia","Percent",0.00197333579026847,0.0102580232398004,0.00545214553329858,0,0.0016904428517617,0,0.00558910229577937,5.27059611632127e-05,8.49684912704428e-05,0.000108633579944319,6.88576602178194e-05,0.000150343615245066,0.00241058633519027,0.0190665900063752,0.0103388156497412,0.00038644333054662,0.00519367804270771,0.00290874847407177,0.0011149797004629,0.000773837095888378,0.0312727263468578,0.000180031544487149,0.00053383176535127,1.70130040660853e-07,1.91396434518026e-06,5.17869280134444e-06,1.69498507612618e-07,2.11698247099929e-06,0,0,6.7545881165231e-05,0,0,0,7.87649481952375e-06,0,0,0.0235677523106294,0.00546801536157471,0.00581097803905361,0.012736259621786,0.000420698171387242,0.000328815346817393,0.000640178900986411,0.0427959261647435,5.85705540364733e-05,0.000642062824193438,0.00370593068197825,0.00010521415164536,0.039805395643893,0.00857070636349492,0.000396720534560961,2.30487991452822e-05,4.33187523356407e-05,0.00341493858175886,0.0015651755279815,0.00161861203340604,0.000656022022433422,0.00602884175377369,0.000640953842065799,0.000307343668330879,6.74933716703339e-05,0.000584103390076538,0.00246404957400698,0.000361872954117571,2.53089203550017e-06,0.0441085166733168,0.00259984499667451,0.000685084350001131,0.00168906167705877,0.000297795792733562,0.000559954213709333,0.00193707275842605,0.01563676694969,0.000764794050127809,0.00132186174177368,0.00431740769536437,0.000272603575547525,0.00388339446664358,0.0076995196807142,0.000245878903683832,0.00120034947972101,0.000277740335806667,0.000313781695871906,0.00558025932275665,2.75591859334616e-05,2.12585130265902e-06,1.18969536495584e-05,2.39710502882556e-06,0.000286918092887354,0.00110262062059538,0.000575169448721957,0.000145825796341591,0.000238648625311799,0.00787080774850256,0.000909900301669512,0.000996598492415068,0.000286917160391446,0.00239520842611199,0.00102985015848813,0.00562515093004488,0.000232502920953381,0.00401346528741735,0.00753952022864882,0.00365932188367986,0.000468013355923278,0.00030305738991025,0.00796390593757764,0.00304606520743147,0,3.37737217302042e-05,2.04151094385564e-06,1.30443282478456e-05,1.07605169322037e-06,5.68029922798911e-06,0.0195362960318103,2.27603323107618e-06,0.0160445324628949,0.0189684259356147,0.33084224791335,0,0.00166519446980132,0.00382138544486335,0.000161255430721905,0.0476318732791001,0.0199321010787048,0.00564251001069858,0.00318890515302719,0.0101797313332067,0.0209045200336165,2.49898263829707e-05,0.0953251941220488,0.00142248127202385
"5","Azerbaijan","Number",105.318612662492,379.348065758753,372.395386660409,0,129.35202077364,0,1825.4559644706,17.685599645999,10.9203122449237,24.3133663929558,23.950391793062,10.7331379136535,795.680191149957,1878.29982221933,364.789713788963,13.0361915849966,46.1605689386179,62.2097078040055,64.9134937379185,307.702201224134,940.703759334417,61.8099377938263,147.74150648042,0.482328493476642,84.8714909070958,1.22028120312425,0.58498473368512,7.8455628606369,0,0,4.67805402471265,0,0,0,0.713050132467177,0,0,1938.3930470155,1453.80781724426,226.125959425816,64.5457123998785,4.61586120445943,18.7645222987773,26.457378209282,1512.04161992246,1.35329507559545,364.221659249003,84.2072398329634,44.1149455763212,3117.97158487371,803.125970308246,26.8224621235267,0.457113202725718,7.8225289274327,267.875689899883,311.770961294457,412.695555039472,84.9656733021589,338.218175873659,204.788815084172,11.8246218405466,5.67500210169074,50.1387209862307,224.733465011669,38.5891249135073,0.219254178828449,2149.83634668987,635.979060215266,37.106133928646,93.0619167514111,18.1094900612249,38.5011246679091,98.2242132478373,629.569284867303,40.4209701649941,50.5497533753275,200.634520417988,15.0664821134632,354.554331565711,218.245319740289,84.6479827972863,153.539004699543,6.17147789014004,10.9742397386819,525.758024648158,15.4780888440418,0.0134040500550997,1.02672396119733,0.086179882454282,32.3129252271099,73.0721310056283,23.5532511730726,9.48037147665438,11.8206304552272,466.780240732337,41.3714914778334,11.0144416626537,63.8413481199099,166.239686681511,55.9700666557908,435.051879739849,17.3495659732306,181.065462536049,377.944978755267,292.147984161612,113.669737329502,10.4713790481192,219.547290825431,125.019079408127,0,0.156792662741254,2.19569793329916,6.32325356352214,0.148975312519572,0.656935448354607,2454.13215641136,3.83819935171654,1385.90119535813,319.808685279054,27208.6838916108,0,85.4474943522658,237.780363290992,5.2677212083471,2296.1440063848,992.915070181953,333.504530628257,153.157044211318,405.275342597626,1062.58942417864,0.798857399759316,10723.105921203,16.4242760294054
"6","Azerbaijan","Percent",0.00140113063857619,0.00504569902029028,0.00495592166122545,0,0.00172105929675513,0,0.0242824757860964,0.000235270282216355,0.000145220618770078,0.000323520897804179,0.000318510742634648,0.000142839073177074,0.0105812940581052,0.0249977090008125,0.00485245551656672,0.000173411040087098,0.000614279150126669,0.000828092434101444,0.000863461390790053,0.00409317999768866,0.0125230505195932,0.000822137965695834,0.00196431504386167,6.41117183831222e-06,0.0011262124395452,1.62313549874444e-05,7.76772059945246e-06,0.000104430411432201,0,0,6.18928945381245e-05,0,0,0,9.49199128224608e-06,0,0,0.0258174339188823,0.0193407736556685,0.00301324709202331,0.000858972072340546,6.1501486515234e-05,0.000249774304608987,0.000352106991496882,0.0201296781017935,1.80305412825551e-05,0.00484805150081604,0.00112138884127389,0.000586457955612494,0.0414916000324938,0.0106812549375163,0.000356753916118443,6.08836926091801e-06,0.000103943240627771,0.00356292658372612,0.00414583302912295,0.00549269456607873,0.00113007711706255,0.0045076473576326,0.00272398770646398,0.00015730913504023,7.54792961229133e-05,0.00066700496329621,0.00298857987155856,0.000513306473830756,2.9202284132185e-06,0.0286132553777744,0.00845839679448555,0.000495760936857004,0.00123792463592782,0.000240897824038821,0.00051204960449023,0.00130793275265628,0.00837760146090851,0.000537879956000593,0.000672764643354861,0.00267244444544064,0.000200508340801817,0.00471456530835253,0.00290361271390464,0.00112518762411322,0.00204270877446983,8.21881148206263e-05,0.000146159470462488,0.00699179685699212,0.000205785523393558,1.78329944810263e-07,1.36585023798917e-05,1.14596025987817e-06,0.000430109016608499,0.000971823758782801,0.000313477301674821,0.000126612905674203,0.000157235814051821,0.00620774500932125,0.000550540883373674,0.000146610745586917,0.000849404256157127,0.00221198428590522,0.000744700726613573,0.00578741116617382,0.000230928114951915,0.00240992048797831,0.00502968845472373,0.0038885036350384,0.00151010654012105,0.000139364076846072,0.00291969177991919,0.00166302290889043,0,2.08815362259561e-06,2.92142814594024e-05,8.41227607713299e-05,1.97948604203984e-06,8.73961174807886e-06,0.0326393037857095,5.10638905981723e-05,0.0184464794063261,0.00425676357739773,0.362270112647859,0,0.00113676570133543,0.00316318581953791,7.00782459006953e-05,0.0305276703111727,0.013223735866571,0.00443956283757423,0.00203962570730717,0.00539172643356532,0.0141393970437941,1.0642629677311e-05,0.142783687137161,0.000218473438768417
"7","Czechia","Number",91.0784465319398,1479.4980820087,105.396269459084,0,135.057698548473,0,129.696743080801,119.055649152381,15.3690840882609,4.698557813232,3.46504838775387,28.5785849866862,618.551938658498,1289.39602301591,632.41061154844,113.603660471664,277.393054754804,416.439767996302,393.901430854129,333.948978889893,5120.75540992718,38.4612280617329,21.956095747525,0.00896953135886969,0.0699018408060626,0.111531483848828,0.00898975695460694,2.28842433257882,0,0,0,0,0,0.0486998919581533,0.600459647668789,0,0,1570.19401417075,699.257269861515,940.336792734153,613.201030240938,456.639618904886,112.827831842118,840.440851089702,3651.38559180812,52.1846563991387,116.776690764837,220.406350419528,21.5711631338467,2319.70930387714,757.666588290799,143.015212218158,2.9880083384548,10.8605988469025,1981.39382130418,153.805656345137,72.2889114740452,71.658395565776,1005.25801534156,171.580799672229,100.475098760248,90.5710296100724,128.31368836958,444.592011893491,135.852450303617,0.46015608522512,3441.38396774407,54.7305542302249,18.8602857189997,413.25805056348,39.087395881794,293.57026275956,850.504061136461,2529.59804727003,420.077618472504,168.881481156571,824.572750521974,39.0668044553044,1371.27361664905,977.030916743613,24.0447287192548,285.581123025986,32.481867508354,76.5802725277185,102.704168924644,10.0301028659919,1.84008935549965,1.06697215073837,0.483775108568529,2.93723789963709,91.2703625666363,213.184815815624,0.863399534751129,28.6566091013149,769.850815136283,89.9726476870643,50.424065780406,64.880460860003,686.922278293064,493.103294374711,1040.46867988793,245.606371122715,292.238631239489,944.189678628974,1280.00649045292,292.874835222665,75.8051396547712,524.974075033417,200.567538843701,0,5.62295018337047,2.46832389317259,0.0189798799407537,0,0.416899973045951,3386.00619388538,2.81062442631268,1316.73673002396,614.399334759345,32959.5780776584,0,363.545372982013,267.27199805289,9.80259613324321,6238.20388846854,1904.15317542467,443.751996888414,445.283237048002,1888.90798147018,4677.62242086092,49.8357199111398,11529.7499370101,73.5420989475574
"8","Czechia","Percent",0.000799444103304586,0.0129852447216343,0.000924689749340236,0,0.00118527153437939,0,0.00113539053378969,0.00104654508546269,0.000135007843597795,4.12519568802174e-05,3.04077766195526e-05,0.000250851142189434,0.0054281831881396,0.0113219123443342,0.00555180320189834,0.000998099805045026,0.00243730858416107,0.00366138916726068,0.00345816662270161,0.00293410481308504,0.04509316210614,0.000337480160116234,0.000192688401925085,7.86976609732806e-08,6.13376737732048e-07,9.80231343044775e-07,7.88572504951731e-08,2.01408636035992e-05,0,0,0,0,0,4.27400125587079e-07,5.27237299076988e-06,0,0,0.0138041409199124,0.00614058841230154,0.00826896592606957,0.00538617582782686,0.00400601463903971,0.000990514858713606,0.00738803760279357,0.0320776702427397,0.000458444111011347,0.00102539930196137,0.00193711279994869,0.000189338761723574,0.0203514405550761,0.00665111051429595,0.00125528355537271,2.62605118025541e-05,9.51741762275037e-05,0.0174174238192948,0.00134970682382662,0.000634928691939515,0.000629049630997922,0.00883758416200006,0.00150582666677341,0.000881759318646241,0.000794779873809413,0.0011260168953515,0.00389854845287751,0.00119263458323469,4.03160262301169e-06,0.0302445159712246,0.000480596966259494,0.000166915858022822,0.00362709859174244,0.000342921174207578,0.00257503516728192,0.00746891175588559,0.0222088725871045,0.0036887781787494,0.00148499005240243,0.0072385377989092,0.000342961618446818,0.0120387956085492,0.00858177925990785,0.000211203878562093,0.00250852891582601,0.00028522778981113,0.000672371547812413,0.000900539822121533,8.81355140971471e-05,1.61613417945215e-05,9.36222362577718e-06,4.24654607311967e-06,2.57261418902257e-05,0.000801138434210705,0.00187260286663525,7.57692889464704e-06,0.000251740812244071,0.00675777526144346,0.00079010224331438,0.000442635053536613,0.000569611464493825,0.00603320605605622,0.00432875993201541,0.00914138052003624,0.0021581411041265,0.00256787982610658,0.00829182155233246,0.011244093734279,0.00257515975445206,0.00066649301987093,0.00461203566004798,0.00176018918744601,0,4.93502936027375e-05,2.17014301538144e-05,1.66876202284415e-07,0,3.66537163648173e-06,0.0297644998911893,2.46850350779135e-05,0.0115731707385115,0.00539949885300302,0.289752566330753,0,0.00319604244594593,0.00234527025659527,8.60272552319305e-05,0.0547598687627937,0.0167245066028737,0.00389555489083729,0.00391110401664806,0.0165914913105051,0.0410757804534951,0.000438173157635396,0.10135618310605,0.00064617731949948
"9","Hungary","Number",40.4960479836908,1902.07359993178,144.153166907374,0,207.232786697467,0,135.488267014128,15.5777777687645,18.0211336311474,12.7678734639318,3.06826923769506,38.2534699709679,642.907643543143,1674.90073838162,511.961953642183,100.441816913437,575.423613775478,407.347776315343,378.52123092221,316.112109586545,4849.68889203858,50.4820273950636,15.8811242654087,0.00741565711484176,0.0468894107367412,1.6877500091962,0.0147724021226073,2.10625414506737,0,0,0,0,0,0.0806537677086625,0.885684636588961,0,0,5790.39974221833,2153.91496393795,897.519799872495,562.2588775019,1010.69125057604,163.493664917971,1156.36144554041,5574.93891128285,35.5776525591802,109.682101167709,174.541864197877,40.7891974711181,3510.53733363295,802.816991503628,96.5490021696418,9.20022411904014,10.9258111680556,2016.37100343347,131.490272515966,129.064393866334,46.8031895086675,926.744046658539,112.828860871609,89.4664558608011,95.0502983892544,110.000678801847,540.637708842274,62.9877631348843,0.495261906999774,2497.10972943947,61.3385078318259,37.2545084093128,775.45131344154,87.3806975222942,575.934682927755,691.069575012068,2331.24753548591,392.008340022842,213.461860573409,785.529497121973,46.5329724178784,925.285870804197,1055.23842628254,45.6362157350011,327.299659675499,59.0213824686948,180.669686838447,204.171397426427,5.85118703886987,1.28362675952396,1.02391173179175,1.32838702232119,9.57014558031111,71.4037788060492,100.91601362011,5.86740140184208,39.6579240482082,676.937016280571,99.2254804108377,39.0980112008287,42.6350374414829,607.253791061715,339.094651893628,946.78331107115,259.349617655585,269.58288022314,825.801244002559,792.042873634697,268.216621096838,88.0746555675118,708.821693417869,244.285735564989,0,0.134013368463018,1.76169961534879,0.0667788826359344,0,0.503846872302814,1216.55494255514,6.91305078577545,1821.46782651444,491.335044250242,35930.5557408268,0,262.460092055497,487.502848803312,18.5865548759705,8972.12345132552,2207.38874448089,481.27412530906,387.484555003065,1565.7270908102,5646.02157470725,21.2068679113118,13091.2071838604,114.067234987029
"10","Hungary","Percent",0.000313893005888784,0.0147460401831148,0.00111734829690374,0,0.00160622452173591,0,0.00104633731184709,0.000120910905124823,0.000139913224280871,9.90031559245649e-05,2.37859016019004e-05,0.000296463276580816,0.00498293124261163,0.0129921050315622,0.00396958368035777,0.000778862336980663,0.00446428663537816,0.0031611962927201,0.0029343127284925,0.00245189696549367,0.0377172777458764,0.00039137410447899,0.000123049520509273,5.74583879606945e-08,3.62391342863264e-07,1.30905164859897e-05,1.14593743806023e-07,1.64043636105803e-05,0,0,0,0,0,6.25150706616291e-07,6.86722655351066e-06,0,0,0.0449638427612521,0.0167096602484922,0.00697169400633386,0.0043618548164609,0.0078280324892299,0.00126828708519771,0.0089775250284527,0.043262092748241,0.000276062913731028,0.000850733251316797,0.0013541958167471,0.000316166760686811,0.0272030022160654,0.00622379721807185,0.000749954117190098,7.14142228898132e-05,8.45499244928722e-05,0.0156534081065001,0.00101907955183843,0.00100081621943835,0.000362813838008826,0.00719603253425012,0.000874559003593198,0.000693392996432597,0.00073664356564652,0.000852873533328188,0.00418726026949594,0.000488493324922558,3.83323077659324e-06,0.0193745444996111,0.000475859418732575,0.000291066067230948,0.0060102190364761,0.000677182080532267,0.00446173269857268,0.00536060396996341,0.018080444439763,0.00303963030143974,0.00165748554781911,0.00609098072963737,0.000360835261236716,0.00717487709589035,0.00818729919194497,0.000353926979142964,0.00253783525176631,0.000457678452726095,0.00140110034005147,0.00158079466271505,4.5365049761602e-05,9.94380801237859e-06,7.93533855223943e-06,1.03012734276445e-05,7.40333123265494e-05,0.000553490665080198,0.000782754988245755,4.55114354850816e-05,0.000307647620908995,0.00524805745887149,0.000769618764465466,0.000303093093751936,0.000330433470873864,0.00470972772147303,0.00262940214813497,0.00734431956956318,0.00201260469564723,0.00209288179352122,0.00640389488215396,0.00614546127640312,0.00208240002469907,0.000683711296199824,0.00549998278521545,0.00189337958183284,0,1.04031011288329e-06,1.36720517095672e-05,5.18462362535988e-07,0,3.91144777073653e-06,0.00944417659797079,5.36193296158782e-05,0.0141429442001332,0.00381273402855386,0.278940095871374,0,0.0020369254794693,0.00377826416399446,0.000144120621313983,0.0695528797218761,0.017117077731409,0.00373049360419493,0.00300537860690101,0.012147923793232,0.0437949027715083,0.000164664848417647,0.101612931217673,0.000885287493168303
